target	status	commit	ci_job
conn | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772149282
connectomemapper3 | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772149356
connectomeworkbench | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772149477
convert3d | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772149569
cosmomvpa | x86_64	success	b2cb602d34c28184dd7c5483a5a23d96025069bf	https://github.com/neurodesk/neurocontainers/actions/runs/34136126095/job/101787456422
cosmomvpa_arm64 | aarch64	success	b2cb602d34c28184dd7c5483a5a23d96025069bf	https://github.com/neurodesk/neurocontainers/actions/runs/34136126095/job/101787456501
cpac | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772150576
dafne | x86_64	success	a945b55c9145ebf3884a5af0e1405f9ad2434f3e	https://github.com/neurodesk/neurocontainers/actions/runs/34375284238/job/102546575967
dafne_arm64 | aarch64	success	a945b55c9145ebf3884a5af0e1405f9ad2434f3e	https://github.com/neurodesk/neurocontainers/actions/runs/34375284238/job/102546576288
datalad | x86_64	success	237eeab254d4478355d43ac88eb32ae8f1aacd24	https://github.com/neurodesk/neurocontainers/actions/runs/34130947151/job/101770701402
datalad_arm64 | aarch64	success	237eeab254d4478355d43ac88eb32ae8f1aacd24	https://github.com/neurodesk/neurocontainers/actions/runs/34130947151/job/101770701362
dcm2bids | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913741
dcm2bids_arm64 | aarch64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298658178/job/102300709077
dcm2niix | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300913708
dcm2niix_arm64 | aarch64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298658178/job/102300709109
deep-quality-estimation | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772150686
deepdisco | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772150832
deepisles | x86_64	success	80d44ba13572e47bc7ec43beb013529b318f931e	https://github.com/neurodesk/neurocontainers/actions/runs/34321555059/job/102369173270
deeplabcut | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300914743
deepretinotopy | x86_64	success	b2cb602d34c28184dd7c5483a5a23d96025069bf	https://github.com/neurodesk/neurocontainers/actions/runs/34136126095/job/101787456462
deepsif | x86_64	success	b7f552bdae0a52db20616daa26a91af604b738d9	https://github.com/neurodesk/neurocontainers/actions/runs/34139410693/job/101797825435
deepwmh | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772151106
delphi | x86_64	success	11b46633a9d5a6942af4cf0ba2016aa968430b41	https://github.com/neurodesk/neurocontainers/actions/runs/34297055494/job/102295886446
dhcpstructuralpipeline | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772151810
dicompare | x86_64	success	dc070130de2843195234234e2e4dc1e512f0deff	https://github.com/neurodesk/neurocontainers/actions/runs/34299307757/job/102302676130
dicompare_arm64 | aarch64	success	dc070130de2843195234234e2e4dc1e512f0deff	https://github.com/neurodesk/neurocontainers/actions/runs/34299307757/job/102302676131
dicomtools | x86_64	success	8a8123bc23681dcd191f84351d7021a009ea5a84	https://github.com/neurodesk/neurocontainers/actions/runs/34137696521/job/101792428279
diffusiontoolkit | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772151948
dsistudio | x86_64	success	3cf9927f7f473ba3b10989ce2111e5b27c9c327b	https://github.com/neurodesk/neurocontainers/actions/runs/34142118863/job/101806210621
dwidenoise2 | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772152101
eeglab | x86_64	success	777a50730f24124e9e4dfb8834c298d0571f3901	https://github.com/neurodesk/neurocontainers/actions/runs/34139694268/job/101798708166
eharmonize | x86_64	success	f9071635501b833c7e5b19ba48ac18e36c116eb9	https://github.com/neurodesk/neurocontainers/actions/runs/34137219518/job/101790925636
eharmonize_arm64 | aarch64	success	f9071635501b833c7e5b19ba48ac18e36c116eb9	https://github.com/neurodesk/neurocontainers/actions/runs/34137219518/job/101790925759
elastix | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300914971
emuses | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300914769
enigma-pd-wml | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300914860
esilpd | x86_64	success	b7f552bdae0a52db20616daa26a91af604b738d9	https://github.com/neurodesk/neurocontainers/actions/runs/34139410693/job/101797825450
exploreasl | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772152993
ezbids | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772153124
fastcsr | x86_64	success	7d8abce65b8ac512e15d0f97795f44a82473d9b1	https://github.com/neurodesk/neurocontainers/actions/runs/34141121164/job/101803171364
fastsurfer | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300914849
fatsegnet | x86_64	success	ae3b819f9865d30e9b6e30e162a2921a419c9933	https://github.com/neurodesk/neurocontainers/actions/runs/34314380819/job/102347458710
fetalsegmentation | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772153463
fetalsynthseg | x86_64	success	0871231e2460e7a0218cf2f26ba60bdecc902779	https://github.com/neurodesk/neurocontainers/actions/runs/34131373058/job/101772153891
fieldtrip | x86_64	success	7656826e1dbaa870e353f66101937e707341f6e7	https://github.com/neurodesk/neurocontainers/actions/runs/34138729044/job/101795675422
fitlins | x86_64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298722483/job/102300915193
fitlins_arm64 | aarch64	success	669ee1cc9622fc65e71f77ca34717d5d2a666988	https://github.com/neurodesk/neurocontainers/actions/runs/34298658178/job/102300709110
